Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,source,4s,6s
PM Siddle (AUS),2008-2019,67,94,15,1164,51,14.73,,,0,2,17,test.csv,,
RW Taylor (ENG),1971-1984,57,83,12,1156,97,16.28,,,0,3,10,test.csv,,
BW Sinclair (NZ),1963-1968,21,40,1,1148,138,29.43,,,3,3,5,test.csv,,
JM Gregory (AUS),1920-1928,24,34,3,1146,119,36.96,,,2,7,3,test.csv,,
CR Woakes (ENG),2013-2019,32,53,11,1145,137*,27.26,,,1,4,6,test.csv,,
MG Vandort (SL),2001-2008,20,33,2,1144,140,36.9,,,4,4,3,test.csv,,
Rajin Saleh (BDESH),2003-2008,24,46,2,1141,89,25.93,,,0,7,8,test.csv,,
DT Lindsay (SA),1963-1970,19,31,1,1130,182,37.66,,,3,5,2,test.csv,,
MC Carew (WI),1963-1972,19,36,3,1127,109,34.15,,,1,5,1,test.csv,,
Faisal Iqbal (PAK),2001-2010,26,44,2,1124,139,26.76,,,1,8,4,test.csv,,
G Gunn (ENG),1907-1930,15,29,1,1120,122*,40.0,,,2,7,3,test.csv,,
AC Bannerman (AUS),1879-1893,28,50,2,1108,94,23.08,,,0,8,3,test.csv,,
CC Lewis (ENG),1990-1996,32,51,3,1105,117,23.02,,,1,4,6,test.csv,,
IK Pathan (INDIA),2003-2008,29,40,5,1105,102,31.57,,,1,6,5,test.csv,,
BP Nash (WI),2008-2011,21,33,0,1103,114,33.42,,,2,8,0,test.csv,,
JA Raval (NZ),2016-2019,23,37,1,1100,132,30.55,,,1,7,3,test.csv,,
CJ Barnett (ENG),1933-1948,20,35,4,1098,129,35.41,,,2,5,1,test.csv,,
WG Grace (ENG),1880-1899,22,36,2,1098,170,32.29,,,2,5,2,test.csv,,
CB Wishart (ZIM),1995-2005,27,50,1,1098,114,22.4,,,1,5,6,test.csv,,
Alimuddin (PAK),1954-1962,25,45,2,1091,109,25.37,,,2,7,6,test.csv,,
Shan Masood (PAK),2013-2019,19,37,0,1089,135,29.43,,,2,6,3,test.csv,,
VG Kambli (INDIA),1993-1995,17,21,1,1084,227,54.2,,,4,3,3,test.csv,,
TM Head (AUS),2018-2019,16,27,2,1081,161,43.24,,,2,7,2,test.csv,,
AMJ Hilditch (AUS),1979-1985,18,34,0,1073,119,31.55,,,2,6,3,test.csv,,
SG Barnes (AUS),1938-1948,13,19,2,1072,234,63.05,,,3,5,1,test.csv,,
Waqar Hasan (PAK),1952-1959,21,35,1,1071,189,31.5,,,1,6,0,test.csv,,
JH Sinclair (SA),1896-1911,25,47,1,1069,106,23.23,,,3,3,7,test.csv,,
