Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,source,Overs,Mdns,BBM,10
Harbhajan Singh (INDIA),1998-2015,103,190,28580,13537,417,8/84,32.46,2.84,68.5,,25,Bowling_test.csv,,,15/217,5.0
Wasim Akram (PAK),1985-2002,104,181,22627,9779,414,7/119,23.62,2.59,54.6,,25,Bowling_test.csv,,,11/110,5.0
CEL Ambrose (WI),1988-2000,98,179,22103,8501,405,8/45,20.99,2.3,54.5,,22,Bowling_test.csv,,,11/84,3.0
M Ntini (SA),1998-2009,101,190,20834,11242,390,7/37,28.82,3.23,53.4,,18,Bowling_test.csv,,,13/132,4.0
IT Botham (ENG),1977-1992,102,168,21815,10878,383,8/34,28.4,2.99,56.9,,27,Bowling_test.csv,,,13/106,4.0
NM Lyon (AUS),2011-2019,95,182,24283,12202,380,8/50,32.11,3.01,63.9,,16,Bowling_test.csv,,,13/154,2.0
MD Marshall (WI),1978-1991,81,151,17584,7876,376,7/22,20.94,2.68,46.7,,22,Bowling_test.csv,,,11/89,4.0
Waqar Younis (PAK),1989-2003,87,154,16224,8788,373,7/76,23.56,3.25,43.4,,22,Bowling_test.csv,,,13/135,5.0
R Ashwin (INDIA),2011-2019,70,131,19412,9183,362,7/59,25.36,2.83,53.6,,27,Bowling_test.csv,,,13/140,7.0
Imran Khan (PAK),1971-1992,88,142,19458,8258,362,8/58,22.81,2.54,53.7,,23,Bowling_test.csv,,,14/116,6.0
DL Vettori (ICC/NZ),1997-2014,113,187,28814,12441,362,7/87,34.36,2.59,79.5,,20,Bowling_test.csv,,,12/149,3.0
DK Lillee (AUS),1971-1984,70,132,18467,8493,355,7/83,23.92,2.75,52.0,,23,Bowling_test.csv,,,11/123,7.0
WPUJC Vaas (SL),1994-2009,111,194,23438,10501,355,7/71,29.58,2.68,66.0,,12,Bowling_test.csv,,,14/191,2.0
AA Donald (SA),1992-2002,72,129,15519,7344,330,8/71,22.25,2.83,47.0,,20,Bowling_test.csv,,,12/139,3.0
RGD Willis (ENG),1971-1984,90,165,17357,8190,325,8/43,25.2,2.83,53.4,,16,Bowling_test.csv,,,9/92,0.0
